City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,paimio,60.4567,22.6869,18.52000000000004,95,100,2.68,FI,1690964668
305,rosetta,31.4044,30.4164,28.680000000000007,58,0,3.76,EG,1690964669
306,vernon,50.2581,-119.2691,19.400000000000034,41,0,1.03,CA,1690964670
307,kavaratti,10.5669,72.642,28.420000000000016,77,100,8.08,IN,1690964670
308,tofol,5.3248,163.0078,26.879999999999995,83,100,6.17,FM,1690964671
309,bahia blanca,-38.7196,-62.2724,10.460000000000036,42,0,1.34,AR,1690964384
310,virginia beach,36.8529,-75.978,23.340000000000032,88,0,0.0,US,1690964411
311,zalau,47.2,23.05,22.160000000000025,64,68,4.15,RO,1690964673
312,marion,39.7684,-86.1555,19.210000000000036,87,75,3.09,US,1690964488
313,holualoa,19.6228,-155.9522,24.910000000000025,84,0,4.12,US,1690964674
314,hasaki,35.7333,140.8333,32.39000000000004,82,82,7.56,JP,1690964675
315,hammerfest,70.6634,23.6821,18.25,72,40,4.63,NO,1690964675
316,dedza,-14.3779,34.3332,13.410000000000025,74,98,3.15,MW,1690964676
317,quezon,7.7303,125.0989,29.939999999999998,63,11,2.35,PH,1690964677
318,beledweyne,4.7358,45.2036,30.5,45,72,9.46,SO,1690964677
319,zlynka,52.4267,31.7378,24.28000000000003,61,32,3.59,RU,1690964678
320,walvis bay,-22.9575,14.5053,26.53000000000003,8,0,11.32,NA,1690964678
321,codrington,-38.2667,141.9667,12.420000000000016,75,0,5.36,AU,1690964679
322,constantia,44.1833,28.65,31.5,60,72,6.38,RO,1690964436
323,puerto gaitan,4.3133,-72.0816,21.860000000000014,90,78,2.82,CO,1690964680
324,coracao de jesus,-16.6853,-44.365,14.740000000000009,71,0,2.66,BR,1690964681
325,bubaque,11.2833,-15.8333,26.30000000000001,83,100,3.24,GW,1690964681
326,westport,41.1415,-73.3579,18.75,74,0,3.09,US,1690964682
327,talara,-4.5772,-81.2719,20.950000000000045,87,6,4.03,PE,1690964683
328,tucuma,-0.1833,-50.05,24.210000000000036,92,30,2.47,BR,1690964683
329,nizhnyaya poyma,56.1622,97.1933,29.110000000000014,38,79,1.41,RU,1690964684
